Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501BS00001,1,9,0,18,0,0,0,0,0,0,1,1,15,2,74,10,-1,-1,-1,7,1
200501BS00002,1,11,0,4,0,3,0,0,0,0,4,1,1,1,42,7,8268,2,3,-1,-1
200501BS00003,1,11,0,17,0,0,0,4,0,0,4,1,1,1,35,6,8300,2,5,2,1
200501BS00003,2,9,0,2,0,0,0,0,0,0,3,1,15,1,62,9,1762,1,6,1,1
200501BS00004,1,9,0,18,0,0,0,0,0,0,1,1,15,2,49,8,1769,1,4,2,1
200501BS00005,1,3,0,18,0,0,1,10,0,0,1,1,15,1,49,8,85,1,10,-1,-1
200501BS00006,1,9,0,5,0,0,0,0,0,0,0,1,15,1,51,8,2976,1,1,4,1
200501BS00006,2,3,0,18,0,0,0,0,0,0,0,1,15,2,30,6,124,1,2,1,1
200501BS00007,1,3,0,18,0,1,0,4,0,0,1,1,15,1,31,6,-1,-1,-1,-1,-1
200501BS00007,2,9,0,2,0,1,0,0,0,0,2,1,15,1,41,7,4266,1,4,6,1
200501BS00009,1,9,0,18,0,0,0,0,1,0,1,1,15,1,68,10,5343,1,16,6,1
200501BS00010,1,9,0,18,0,8,0,0,0,0,2,1,15,1,35,6,1998,1,13,3,1
200501BS00010,2,9,0,9,0,8,0,0,0,0,1,1,15,2,48,8,-1,-1,-1,5,1
200501BS00011,1,11,0,9,0,8,0,0,0,0,0,1,1,1,42,7,8268,2,2,2,1
200501BS00011,2,90,0,18,0,8,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501BS00012,1,9,0,18,0,8,0,0,0,0,1,1,15,1,34,6,1988,1,6,4,1
200501BS00014,1,9,0,9,0,8,0,0,0,0,1,1,15,2,19,4,1124,1,8,8,1
200501BS00014,2,3,0,18,0,8,0,0,0,0,1,1,15,2,20,4,124,1,1,-1,-1
200501BS00015,1,9,0,9,0,3,0,0,0,0,1,1,15,2,47,8,1360,1,2,3,1
200501BS00016,1,9,0,18,0,8,0,7,7,1,1,1,15,1,34,6,698,1,2,7,1
200501BS00016,2,9,0,7,0,8,0,0,0,0,0,1,15,1,33,6,2148,2,4,4,1
200501BS00017,1,5,0,18,0,0,0,0,0,0,1,1,15,1,42,7,1171,1,2,8,1
200501BS00018,1,11,0,18,0,1,0,0,0,0,4,1,1,1,57,9,7300,2,1,3,1
200501BS00019,1,5,0,18,0,8,0,0,0,0,1,1,15,1,54,8,599,1,6,5,1
200501BS00019,2,9,0,9,0,8,0,0,0,0,3,2,15,1,44,7,-1,-1,-1,8,1
200501BS00020,1,9,0,9,0,8,0,0,0,0,3,1,15,1,27,6,1998,1,7,6,1
200501BS00020,2,3,0,18,0,8,0,0,0,0,1,1,15,1,26,6,-1,-1,-1,2,1
200501BS00021,1,5,0,13,0,0,0,0,0,0,1,1,15,1,33,6,599,1,1,7,1
200501BS00021,2,9,0,6,0,0,0,0,0,0,3,1,15,1,31,6,1995,2,5,10,1
200501BS00022,1,9,0,18,0,1,0,0,0,0,1,1,15,1,28,6,1997,1,1,5,1
200501BS00023,1,3,0,18,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1
200501BS00024,1,9,0,7,0,8,0,0,0,0,1,1,15,2,37,7,2792,1,6,9,1
200501BS00024,2,1,0,17,0,8,0,0,0,0,3,1,15,2,25,5,-1,-1,-1,7,1
200501BS00025,1,9,0,9,0,8,0,0,0,0,1,1,15,1,43,7,1587,1,10,1,1
200501BS00025,2,5,0,18,0,8,0,0,0,0,1,1,15,1,59,9,740,1,11,4,1
200501BS00028,1,3,0,18,0,8,0,0,0,0,3,1,15,1,40,7,120,1,4,10,1
200501BS00028,2,19,0,9,0,8,0,0,0,0,1,1,15,1,-1,-1,1998,2,-1,-1,-1
200501BS00029,1,9,0,18,0,8,0,0,0,0,1,1,15,1,54,8,-1,-1,-1,2,1
200501BS00029,2,9,0,9,0,8,0,0,0,0,4,1,15,1,59,9,1951,2,1,2,1
200501BS00031,1,9,0,18,0,2,0,0,0,0,1,1,15,1,41,7,1192,1,-1,3,1
200501BS00032,1,1,0,18,0,0,0,0,0,0,3,1,15,1,47,8,-1,-1,-1,-1,-1
200501BS00032,2,9,0,18,0,0,0,0,0,0,4,1,15,3,-1,-1,1998,1,7,-1,-1
200501BS00033,1,9,0,3,0,1,0,0,0,0,2,1,15,1,29,6,1796,1,3,7,1
200501BS00033,2,9,0,18,0,1,0,0,0,0,1,1,15,1,-1,-1,1996,1,11,-1,-1
200501BS70001,1,4,0,13,0,2,0,0,0,0,1,1,15,2,28,6,398,1,14,1,1
200501BS70001,2,9,0,6,0,2,0,0,0,0,3,1,15,1,39,7,1991,1,8,10,1
200501BS70002,1,9,0,18,0,1,0,0,0,0,2,1,15,1,40,7,-1,-1,-1,-1,-1
200501BS70002,2,5,0,18,0,1,0,0,0,0,1,1,15,2,33,6,645,1,4,5,1
200501BS70003,1,3,0,18,0,8,0,0,0,0,1,1,15,1,24,5,124,1,3,2,1
200501BS70003,2,5,0,18,0,8,0,0,0,0,4,1,15,1,28,6,-1,-1,-1,3,1
200501BS70004,1,1,0,16,0,1,0,0,0,0,0,1,15,1,31,6,-1,-1,-1,4,1
200501BS70004,2,9,0,9,0,8,0,0,0,0,0,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501BS70005,1,4,0,18,0,1,1,0,0,0,1,1,15,1,43,7,244,1,1,3,1
200501BS70005,2,9,0,18,0,1,0,0,0,0,2,1,15,1,40,7,1598,1,1,7,1
200501BS70006,1,3,0,18,0,8,0,0,0,0,4,1,15,2,23,5,124,1,8,2,1
200501BS70006,2,9,0,18,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501BS70007,1,9,0,18,0,8,0,0,0,0,3,1,15,1,46,8,1985,1,9,2,1
200501BS70007,2,9,0,18,0,8,0,0,0,0,3,1,15,1,43,7,-1,-1,-1,2,1
200501BS70007,3,9,0,18,0,8,0,0,0,0,3,1,15,2,29,6,1590,1,6,6,1
200501BS70007,4,19,0,18,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501BS70008,1,9,0,18,0,8,0,0,0,0,2,1,15,1,29,6,1597,1,9,1,1
200501BS70008,2,9,0,9,0,8,0,0,0,0,1,1,15,1,-1,-1,1117,1,18,-1,-1
200501BS70009,1,9,0,7,0,0,0,0,0,0,1,1,15,2,36,7,1998,2,1,6,1
200501BS70009,2,1,0,18,0,0,0,0,0,0,3,1,15,1,37,7,-1,-1,-1,2,1
200501BS70010,1,1,0,18,0,0,0,0,0,0,3,1,15,1,50,8,-1,-1,-1,4,1
200501BS70010,2,9,0,11,0,0,0,0,0,0,4,1,15,3,-1,-1,1242,1,8,-1,-1
200501BS70011,1,9,0,3,0,8,0,0,0,0,2,1,15,1,45,7,1596,1,8,3,1
200501BS70011,2,9,0,4,0,8,0,0,0,0,1,1,15,1,25,5,1587,1,3,9,1
200501BS70012,1,3,0,18,0,0,0,0,0,0,1,1,15,1,28,6,100,1,4,-1,-1
200501BS70012,2,9,0,11,0,0,0,0,0,0,4,1,15,1,59,9,-1,-1,-1,9,1
200501BS70013,1,9,0,18,0,8,0,0,0,0,1,1,15,1,38,7,1595,1,3,2,1
200501BS70014,1,5,0,7,0,8,0,0,0,0,1,1,15,1,39,7,599,1,3,6,1
200501BS70014,2,9,0,7,0,8,0,0,0,0,2,1,15,1,23,5,1796,1,1,8,2
200501BS70016,1,9,0,18,0,0,0,0,0,0,0,1,15,1,35,6,1598,1,3,4,1
200501BS70017,1,8,0,18,0,8,0,0,0,0,2,1,15,1,42,7,2664,2,3,2,1
200501BS70017,2,11,0,18,0,8,0,0,0,0,1,1,1,1,56,9,-1,2,39,-1,-1
200501BS70018,1,5,0,15,0,0,0,0,0,0,1,1,15,1,28,6,599,1,1,1,1
200501BS70018,2,9,0,3,0,0,0,0,0,0,4,1,15,1,72,10,1994,1,1,6,1
200501BS70019,1,9,0,4,0,0,0,0,0,0,2,1,15,2,26,6,1840,1,7,5,1
200501BS70019,2,9,0,18,0,0,0,0,0,0,1,1,15,1,70,10,1488,1,18,5,1
200501BS70020,1,1,0,9,0,8,0,0,0,0,3,1,15,2,65,9,-1,-1,-1,-1,-1
200501BS70020,2,3,0,18,0,8,0,0,0,0,1,1,15,1,50,8,124,1,2,-1,-1
200501BS70021,1,11,0,3,0,0,0,0,0,0,0,1,15,1,35,6,8300,2,5,4,1
200501BS70023,1,9,0,18,0,8,0,0,0,0,1,1,15,1,19,4,1493,1,10,2,1
200501BS70023,2,9,0,18,0,8,0,0,0,0,1,1,15,1,22,5,-1,-1,-1,5,1
200501BS70025,1,9,0,18,0,8,0,0,0,0,1,1,15,2,54,8,1994,1,10,2,1
200501BS70025,2,9,0,18,0,8,0,0,0,0,1,1,15,2,35,6,1390,1,8,7,1
200501BS70027,1,1,0,3,0,1,0,0,0,0,2,1,15,1,-1,-1,-1,-1,-1,4,1
200501BS70027,2,19,0,4,0,1,0,0,0,0,1,1,15,1,21,5,2151,2,1,6,1
200501BS70028,1,11,0,5,0,0,0,0,0,0,0,1,1,1,45,7,9640,2,41,2,1
200501BS70029,1,5,0,18,0,0,0,0,0,0,1,1,15,1,25,5,599,1,7,3,1
200501BS70030,1,21,1,18,0,1,0,0,0,0,4,1,15,1,57,9,11946,2,8,8,3
200501BS70030,2,1,0,18,0,1,0,0,0,0,3,1,15,2,36,7,-1,-1,-1,7,1
200501BS70031,1,11,0,18,0,2,0,0,0,0,4,1,1,1,30,6,-1,-1,-1,3,1
200501BS70032,1,9,0,18,0,2,0,0,0,0,1,1,15,1,49,8,-1,-1,-1,7,1
200501BS70033,1,8,0,18,0,1,0,0,0,0,1,1,15,1,58,9,2664,2,12,5,1
200501BS70034,1,1,0,18,0,8,0,0,0,0,3,1,15,1,14,3,-1,-1,-1,-1,-1
200501BS70034,2,9,0,18,0,8,0,0,0,0,1,1,15,1,29,6,1990,1,21,-1,-1
200501BS70036,1,9,0,18,0,8,0,0,0,0,4,1,15,1,41,7,1598,1,5,1,1
200501BS70036,2,9,0,18,0,8,0,0,0,0,1,1,15,1,-1,-1,1796,1,9,7,1
